1 epoch, LR 0.001000, LOSS 3.677785, ACC 47.27%, EER 4.40%, bestEER 4.40%
2 epoch, LR 0.000970, LOSS 3.226198, ACC 50.76%, EER 5.00%, bestEER 4.40%
3 epoch, LR 0.000941, LOSS 3.040311, ACC 52.82%, EER 4.60%, bestEER 4.40%
4 epoch, LR 0.000913, LOSS 2.909879, ACC 54.34%, EER 4.60%, bestEER 4.40%
5 epoch, LR 0.000885, LOSS 2.810439, ACC 55.40%, EER 5.60%, bestEER 4.40%
6 epoch, LR 0.000760, LOSS 2.673779, ACC 57.41%, EER 4.40%, bestEER 4.40%
7 epoch, LR 0.000737, LOSS 2.562176, ACC 58.65%, EER 5.00%, bestEER 4.40%
8 epoch, LR 0.000715, LOSS 2.485713, ACC 59.77%, EER 4.60%, bestEER 4.40%
9 epoch, LR 0.000694, LOSS 2.421794, ACC 60.44%, EER 3.80%, bestEER 3.80%
10 epoch, LR 0.000673, LOSS 2.369425, ACC 61.24%, EER 4.60%, bestEER 3.80%
11 epoch, LR 0.000737, LOSS 0.725372, ACC 83.83%, EER 4.60%, bestEER 4.60%
12 epoch, LR 0.000715, LOSS 0.593760, ACC 86.65%, EER 4.20%, bestEER 4.20%
13 epoch, LR 0.000694, LOSS 0.545702, ACC 87.51%, EER 5.40%, bestEER 4.20%
14 epoch, LR 0.000673, LOSS 0.515602, ACC 88.06%, EER 4.60%, bestEER 4.20%
15 epoch, LR 0.000653, LOSS 0.506382, ACC 88.45%, EER 3.60%, bestEER 3.60%
16 epoch, LR 0.000633, LOSS 0.461892, ACC 89.28%, EER 4.20%, bestEER 3.60%
17 epoch, LR 0.000614, LOSS 0.450883, ACC 89.52%, EER 5.00%, bestEER 3.60%
18 epoch, LR 0.000596, LOSS 0.446957, ACC 89.66%, EER 4.40%, bestEER 4.40%
19 epoch, LR 0.000578, LOSS 0.422046, ACC 90.24%, EER 4.60%, bestEER 4.40%
20 epoch, LR 0.000561, LOSS 0.420709, ACC 90.35%, EER 5.40%, bestEER 4.40%
21 epoch, LR 0.000544, LOSS 0.404063, ACC 90.76%, EER 4.60%, bestEER 4.40%
22 epoch, LR 0.000527, LOSS 0.384639, ACC 91.09%, EER 4.60%, bestEER 4.40%
23 epoch, LR 0.000512, LOSS 0.373718, ACC 91.40%, EER 5.20%, bestEER 4.40%
